folio_name	Z30_SUB_LIBRARY	Z30_ITEM_STATUS
Standard Loan	UMIDA	01
Reserve 4 Hour	UMIDA	02
Reserve 4 Hour	UMIDA	31
1 Week	UMIDA	11
1 Week	UMIDA	12
Equipment 3 Day	UMIDA	53
Equipment 3 Day	UMIDA	54
Equipment 3 Day	UMIDA	55
Equipment 3 Day	UMIDA	57
Non-circulating	UMIMA	03
Non-circulating	UMIMA	13
Standard Loan	UMMDA	01
Reserve 4 Hour	UMMDA	02
Reserve 4 Hour	UMMDA	31
1 Week	UMMDA	11
1 Week	UMMDA	12
1 Week	UMMDA	06
4 Week	UMMDA	20
4 Week	UMMDA	17
4 Week	UMMDA	22
Equipment 4 Hour	UMMDA	58
Equipment 4 Hour	UMMDA	52
Equipment 3 Day	UMMDA	53
Equipment 3 Day	UMMDA	54
Equipment 3 Day	UMMDA	55
Equipment 3 Day	UMMDA	56
Equipment 3 Day	UMMDA	57
Non-circulating	UMSCA	03
Non-circulating	UMSCA	13
Non-circulating	UMSCI	03
Non-circulating	UMSCI	13
Standard Loan	UMSCI	01
1 Week	UMSCI	11
1 Week	UMSCI	12
4 Week	UMSCI	06
4 Week	UMSCI	20
4 Week	UMSCI	22
4 Week	UMSCI	25
4 Week	UMSCI	27
Internet	UMSCI	04
Reserve 4 Hour	UMDUB	31
