Process issue. Check mapping files and reference data 	Holdings id '001815648' not in hold id map.	row 587518	
Process issue. Check mapping files and reference data 	Holdings id '001845743' not in hold id map.	row 614027	
Process issue. Check mapping files and reference data 	Holdings id '001883499' not in hold id map.	row 727507	
Process issue. Check mapping files and reference data 	Holdings id '001894822' not in hold id map.	row 758784	
Process issue. Check mapping files and reference data 	Holdings id '001984662' not in hold id map.	row 850571	
Process issue. Check mapping files and reference data 	Holdings id '002086595' not in hold id map.	row 1005235	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033295	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033296	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033297	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033298	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033299	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033300	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033301	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033302	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033303	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033304	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033305	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033306	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033307	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033308	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033309	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033310	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033311	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033312	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033313	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033314	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033315	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033316	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033317	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033318	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033319	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033320	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033321	
